Cryptocurrency,Amount,Transaction Type,Confirmed At
USDC,-15.00000000,Trade,2020-06-11 13:48:13
GUSD,15.00000000,Trade,2020-06-11 13:48:13
USDC,-10.94870400,Trade,2020-06-11 13:47:22
LTC,0.24000000,Trade,2020-06-11 13:47:22
USDC,-10.88825400,Trade,2020-06-11 13:46:52
ETH,0.04500000,Trade,2020-06-11 13:46:52
USDC,-10.66579800,Trade,2020-06-11 13:46:15
BTC,0.00110000,Trade,2020-06-11 13:46:15
USDC,78.00000000,Deposit,2020-06-11 13:38:08
USDC,3.88241463,Interest Payment,2020-06-01 03:59:59
USDC,-35.00000000,Trade,2020-05-29 17:42:42
GUSD,35.00000000,Trade,2020-05-29 17:42:42
USDC,36.00000000,Deposit,2020-05-29 17:26:34
BTC,0.00117647,Deposit,2020-05-28 14:33:06
ETH,0.04888780,Deposit,2020-05-28 13:32:29
USDC,2.89018672,Interest Payment,2020-05-01 03:59:59
USDC,-39.00000000,Trade,2020-04-30 16:53:02
PAX,39.00000000,Trade,2020-04-30 16:53:02
USDC,-40.00000000,Trade,2020-04-30 16:50:55
GUSD,40.00000000,Trade,2020-04-30 16:50:55
USDC,-10.35992100,Trade,2020-04-30 16:48:11
LTC,0.22000000,Trade,2020-04-30 16:48:11
USDC,-10.40646750,Trade,2020-04-30 16:47:35
ETH,0.05000000,Trade,2020-04-30 16:47:35
USDC,-10.47719400,Trade,2020-04-30 16:47:06
BTC,0.00120000,Trade,2020-04-30 16:47:06
USDC,103.00000000,Deposit,2020-04-30 16:41:07
USDC,-51.00000000,Trade,2020-04-16 13:39:39
PAX,51.00000000,Trade,2020-04-16 13:39:39
USDC,51.00000000,Deposit,2020-04-16 13:08:57
BTC,0.00144197,Deposit,2020-04-10 05:34:37
USDC,2.19794597,Interest Payment,2020-04-01 03:59:59
USDC,-30.22670025,Trade,2020-03-24 07:10:40
PAX,30.00000000,Trade,2020-03-24 07:10:40
USDC,-60.00000000,Trade,2020-03-13 12:31:27
GUSD,60.00000000,Trade,2020-03-13 12:31:27
USDC,-11.58792000,Trade,2020-03-13 12:30:42
LTC,0.30000000,Trade,2020-03-13 12:30:42
USDC,-11.21310400,Trade,2020-03-13 12:30:15
ETH,0.08000000,Trade,2020-03-13 12:30:15
USDC,-11.84868000,Trade,2020-03-13 12:28:40
BTC,0.00200000,Trade,2020-03-13 12:28:40
USDC,100.00000000,Deposit,2020-03-13 12:17:24
USDC,-1.34000000,Withdrawal,2020-03-04 20:48:27
USDC,-30.00000000,Trade,2020-03-03 12:54:55
GUSD,30.00000000,Trade,2020-03-03 12:54:55
USDC,-9.91653600,Trade,2020-03-03 12:53:40
LTC,0.16000000,Trade,2020-03-03 12:53:40
USDC,-9.93296775,Trade,2020-03-03 12:52:51
ETH,0.04300000,Trade,2020-03-03 12:52:51
USDC,-9.78478050,Trade,2020-03-03 12:52:02
BTC,0.00110000,Trade,2020-03-03 12:52:02
USDC,59.00000000,Deposit,2020-03-03 12:48:26
USDC,0.78489292,Interest Payment,2020-03-01 04:59:59
USDC,-140.00000000,Trade,2020-02-23 11:46:29
GUSD,140.00000000,Trade,2020-02-23 11:46:29
USDC,-19.73066250,Trade,2020-02-23 11:45:41
LTC,0.25000000,Trade,2020-02-23 11:45:41
USDC,-19.08665850,Trade,2020-02-23 11:45:12
ETH,0.07000000,Trade,2020-02-23 11:45:12
USDC,-19.88493000,Trade,2020-02-23 11:44:35
BTC,0.00200000,Trade,2020-02-23 11:44:35
USDC,200.00000000,Deposit,2020-02-23 11:38:32
BTC,-0.00003047,Trade,2020-02-20 03:49:29
USDC,0.29000000,Trade,2020-02-20 03:49:29
GUSD,-0.16195708,Trade,2020-02-09 11:37:22
USDC,0.16195708,Trade,2020-02-09 11:37:22
USDC,-0.16000000,Trade,2020-02-04 04:43:10
GUSD,0.16000000,Trade,2020-02-04 04:43:10
GUSD,-0.16000000,Trade,2020-02-03 19:26:24
USDC,0.16000000,Trade,2020-02-03 19:26:24
USDC,0.12397528,Interest Payment,2020-02-01 04:59:59
ETH,0.00014092,Interest Payment,2020-02-01 04:59:59
BTC,0.00001039,Interest Payment,2020-02-01 04:59:59
GUSD,0.15784258,Interest Payment,2020-02-01 04:59:59
LTC,0.00047930,Interest Payment,2020-02-01 04:59:59
LTC,-0.08840826,Trade,2020-01-20 11:02:08
USDC,5.00000000,Trade,2020-01-20 11:02:08
BTC,-0.00058114,Trade,2020-01-20 11:01:29
USDC,5.00000000,Trade,2020-01-20 11:01:29
BTC,0.00127900,Deposit,2020-01-20 10:03:41
LTC,0.07608129,Deposit,2020-01-19 07:28:33
BTC,-0.00057364,Trade,2020-01-15 19:56:01
GUSD,5.00000000,Trade,2020-01-15 19:56:01
BTC,-0.00057345,Trade,2020-01-15 19:55:39
GUSD,5.00000000,Trade,2020-01-15 19:55:39
BTC,0.00204737,Deposit,2020-01-15 12:44:34
BTC,-0.00128553,Trade,2020-01-09 18:33:50
USDC,10.00000000,Trade,2020-01-09 18:33:50
BTC,0.00131100,Deposit,2020-01-09 18:31:22
LTC,-0.22176194,Trade,2020-01-09 06:40:03
USDC,10.00000000,Trade,2020-01-09 06:40:03
LTC,0.41813537,Deposit,2020-01-08 05:01:23
BTC,-0.00133416,Trade,2020-01-06 04:52:34
GUSD,10.00000000,Trade,2020-01-06 04:52:34
BTC,0.00200000,Deposit,2020-01-06 04:11:27
ETH,0.00571420,Deposit,2020-01-04 13:08:29
BTC,-0.00072634,Trade,2020-01-03 11:03:24
ETH,0.04000000,Trade,2020-01-03 11:03:24
BTC,-0.00137143,Trade,2020-01-03 11:00:39
GUSD,9.96000000,Trade,2020-01-03 11:00:39
BTC,0.00295572,Deposit,2020-01-03 10:57:46
ETH,0.00052474,Interest Payment,2019-12-31 23:59:59
ETH,-0.39118815,Withdrawal,2019-12-23 22:25:05
GUSD,-9.99472500,Trade,2019-12-20 16:36:34
ETH,0.07800000,Trade,2019-12-20 16:36:34
GUSD,-29.96116050,Trade,2019-12-20 04:04:42
ETH,0.23500000,Trade,2019-12-20 04:04:42
BTC,-0.00051768,Trade,2019-12-17 15:37:21
ETH,0.02700000,Trade,2019-12-17 15:37:21
ETH,-0.07726802,Trade,2019-12-17 14:03:54
GUSD,10.00000000,Trade,2019-12-17 14:03:54
ETH,0.10000000,Deposit,2019-12-17 13:59:23
ETH,-0.14096713,Trade,2019-12-15 11:34:07
GUSD,20.00000000,Trade,2019-12-15 11:34:07
ETH,0.14942330,Deposit,2019-12-15 11:28:57
BTC,-0.00069619,Trade,2019-12-13 14:18:26
GUSD,5.00000000,Trade,2019-12-13 14:18:26
BTC,-0.00069910,Trade,2019-12-12 18:07:44
GUSD,5.00000000,Trade,2019-12-12 18:07:44
BTC,0.00142161,Deposit,2019-12-12 18:01:47
BTC,0.00050000,Deposit,2019-12-12 16:47:01
ETH,0.02000000,Deposit,2019-12-12 15:53:43
