,Token,Amount,Type,Date
339,USDC,-11.58792,Trade,2020-03-13 12:30:42
340,LTC,0.3,Trade,2020-03-13 12:30:42
341,USDC,-11.213104,Trade,2020-03-13 12:30:15
342,ETH,0.08,Trade,2020-03-13 12:30:15
343,USDC,-11.84868,Trade,2020-03-13 12:28:40
344,BTC,0.002,Trade,2020-03-13 12:28:40
345,USDC,100.0,Deposit,2020-03-13 12:17:24
346,USDC,-1.34,Withdrawal,2020-03-04 20:48:27
347,USDC,-30.0,Trade,2020-03-03 12:54:55
348,GUSD,30.0,Trade,2020-03-03 12:54:55
349,USDC,-9.916536,Trade,2020-03-03 12:53:40
350,LTC,0.16,Trade,2020-03-03 12:53:40
351,USDC,-9.93296775,Trade,2020-03-03 12:52:51
352,ETH,0.043,Trade,2020-03-03 12:52:51
353,USDC,-9.7847805,Trade,2020-03-03 12:52:02
354,BTC,0.0011,Trade,2020-03-03 12:52:02
355,USDC,59.0,Deposit,2020-03-03 12:48:26
356,USDC,0.78489292,Interest Payment,2020-03-01 04:59:59
357,USDC,-140.0,Trade,2020-02-23 11:46:29
358,GUSD,140.0,Trade,2020-02-23 11:46:29
359,USDC,-19.7306625,Trade,2020-02-23 11:45:41
360,LTC,0.25,Trade,2020-02-23 11:45:41
361,USDC,-19.0866585,Trade,2020-02-23 11:45:12
362,ETH,0.07,Trade,2020-02-23 11:45:12
363,USDC,-19.88493,Trade,2020-02-23 11:44:35
364,BTC,0.002,Trade,2020-02-23 11:44:35
365,USDC,200.0,Deposit,2020-02-23 11:38:32
366,BTC,-3.047e-05,Trade,2020-02-20 03:49:29
367,USDC,0.29,Trade,2020-02-20 03:49:29
368,GUSD,-0.16195708,Trade,2020-02-09 11:37:22
369,USDC,0.16195708,Trade,2020-02-09 11:37:22
370,USDC,-0.16,Trade,2020-02-04 04:43:10
371,GUSD,0.16,Trade,2020-02-04 04:43:10
372,GUSD,-0.16,Trade,2020-02-03 19:26:24
373,USDC,0.16,Trade,2020-02-03 19:26:24
374,USDC,0.12397528,Interest Payment,2020-02-01 04:59:59
375,ETH,0.00014092,Interest Payment,2020-02-01 04:59:59
376,BTC,1.039e-05,Interest Payment,2020-02-01 04:59:59
377,GUSD,0.15784258,Interest Payment,2020-02-01 04:59:59
378,LTC,0.0004793,Interest Payment,2020-02-01 04:59:59
379,LTC,-0.08840826,Trade,2020-01-20 11:02:08
380,USDC,5.0,Trade,2020-01-20 11:02:08
381,BTC,-0.00058114,Trade,2020-01-20 11:01:29
382,USDC,5.0,Trade,2020-01-20 11:01:29
383,BTC,0.001279,Deposit,2020-01-20 10:03:41
384,LTC,0.07608129,Deposit,2020-01-19 07:28:33
385,BTC,-0.00057364,Trade,2020-01-15 19:56:01
386,GUSD,5.0,Trade,2020-01-15 19:56:01
387,BTC,-0.00057345,Trade,2020-01-15 19:55:39
388,GUSD,5.0,Trade,2020-01-15 19:55:39
389,BTC,0.00204737,Deposit,2020-01-15 12:44:34
390,BTC,-0.00128553,Trade,2020-01-09 18:33:50
391,USDC,10.0,Trade,2020-01-09 18:33:50
392,BTC,0.001311,Deposit,2020-01-09 18:31:22
393,LTC,-0.22176194,Trade,2020-01-09 06:40:03
394,USDC,10.0,Trade,2020-01-09 06:40:03
395,LTC,0.41813537,Deposit,2020-01-08 05:01:23
396,BTC,-0.00133416,Trade,2020-01-06 04:52:34
397,GUSD,10.0,Trade,2020-01-06 04:52:34
398,BTC,0.002,Deposit,2020-01-06 04:11:27
399,ETH,0.0057142,Deposit,2020-01-04 13:08:29
400,BTC,-0.00072634,Trade,2020-01-03 11:03:24
401,ETH,0.04,Trade,2020-01-03 11:03:24
402,BTC,-0.00137143,Trade,2020-01-03 11:00:39
403,GUSD,9.96,Trade,2020-01-03 11:00:39
404,BTC,0.00295572,Deposit,2020-01-03 10:57:46
405,ETH,0.00052474,Interest Payment,2019-12-31 23:59:59
406,ETH,-0.39118815,Withdrawal,2019-12-23 22:25:05
407,GUSD,-9.994725,Trade,2019-12-20 16:36:34
